,chi_sq_dof,chi_sq_rel_like
9d565d,67.75784680291319,2.1081309872493684e-29
529c9f,47.204323610526686,1.7790137226698186e-20
7607c6,49.07526359490659,2.7393049791162614e-21
d5bed3,13.510440671113223,7.642698593451129e-06
44af5b,148.95736180867047,1.1465586938537256e-64
c4a204,22.231202224681823,1.2470047617596636e-09
398e6f,217.52142427183236,1.916030010653374e-94
4bdc07,187.16903340769167,2.9125820722973577e-81
fc6a55,150.79000698626643,1.8343770312238897e-65
2b7a5e,10.494634295233693,0.000155953383009374
a119d5,84.43891038220403,1.2006148956296523e-36
a2dcd9,158.17360672114896,1.1398087389094077e-68
9b78af,102.77046390796552,1.3125358859299954e-44
65261a,131.92149851963023,2.870633261471917e-57
5d2be2,43.77947455506169,5.464775738462203e-19
07d0a1,5.885605212418776,0.015655635367675873
a6f97f,230.45296051111274,4.637751514011417e-100
3044c4,199.2809111229148,1.6001345949820195e-86
ebf38d,32.68369554215753,3.6008741403741285e-14
53140d,13.458525538010914,8.04995010240041e-06
c3f397,78.26627170326681,5.756342736856323e-34
1e065f,46.683520872332835,2.994753308952314e-20
d63b3b,13.810701043418952,5.6603763760731116e-06
4a730d,265.9869317173584,1.7143514570705662e-115
843e86,41.7995031832314,3.957883305945639e-18
3f542b,193.0622140311683,8.033454649643564e-84
5ac669,15.90402404304026,6.977931184362596e-07
0f906d,51.9274830384881,1.5810194814421748e-22
3645bd,68.42464392976929,1.0822093435710133e-29
07b219,42.687327253714706,1.6288679969821925e-18
416b37,193.16657482774337,7.237340877029696e-84
6ad29f,25.923113525759,3.108074399163938e-11
755f7f,11.898953863617718,3.8291868668650774e-05
184e74,11.300166473788973,6.968777843829966e-05
4b29ac,25.005385112248963,7.781365085685498e-11
f79463,245.14733359199576,1.92584944082634e-106
9569c8,41.821449456329916,3.8719687188071596e-18
383764,17.41406571860132,1.5414303828249217e-07
b5032e,28.302113780703934,2.8794180513400414e-12
9b8771,16.014451565295065,6.248397048799291e-07
d51685,231.24610196416972,2.0982175702281463e-100
bf5fd8,266.9371939946762,6.628361673760307e-116
1770ca,119.29606961278921,8.732363758349898e-52
d83089,77.38028401320317,1.3961311244226317e-33
868fc9,97.81910743848266,1.8554872689888597e-42
d23cde,123.89072488155301,8.824668277171217e-54
8fdb8b,47.409136774345455,1.449539556168752e-20
9ec4e8,317.0217829268625,1.174750384518406e-137
37cdec,30.21026662805125,4.271736648766294e-13
0fed18,46.85602831760587,2.5202407061452854e-20
acab73,174.992572268182,5.655201111185845e-76
d0922e,15.625880970213396,9.215580218822628e-07
05d896,182.2820298256118,3.8607960543705995e-79
c440ca,190.38051463859642,1.1736797043082576e-82
3cbd07,53.98703810998629,2.0159688563991478e-23
b68e0d,5.449990518008476,0.02420225072424414
beae0b,152.4079053419116,3.637845710590667e-66
d46521,234.3766778172431,9.167664284763854e-102
1e45c3,34.201424589696074,7.893445078980613e-15
1a254b,133.87680141286842,4.062566244187942e-58
c4b569,19.490472239483204,1.932644703264233e-08
fc06b5,111.84163910689968,1.5085157642028266e-48
e88d93,26.93949980369757,1.1248133291400638e-11
bfcf86,88.37799327472919,2.3371240430399824e-38
9594cc,61.91704344225706,7.253143358406709e-27
4741ba,16.474870636874684,3.942858181461721e-07
074e6c,263.63849378320157,1.7947894035289823e-114
897b4a,16.493106175235113,3.871609641955899e-07
ddf8c0,56.56870296068362,1.525039245026411e-24
6c155f,46.597441666815726,3.2639596211805965e-20
6f96bc,63.2217680594417,1.9673949837253114e-27
68acab,206.40605460213408,1.2874963869949651e-89
004817,214.79005556811444,2.941850936022395e-93
05306d,65.93786952624109,1.3010790395300968e-28
cd45fe,33.512813219998286,1.5715445961273295e-14
d10428,54.15035734190241,1.712202699512673e-23
d14f7b,177.17015965158228,6.4081677135978586e-77
9af9d2,15.66298577075019,8.879904062795345e-07
b839da,26.333766126024575,2.06132868975491e-11
205c69,151.93662428231264,5.827993239289322e-66
71a246,56.00647729606867,2.6757930636112462e-24
021e8b,50.46748083400664,6.807820908313729e-22
f6b145,178.79584536645507,1.2609780715292784e-77
5b736c,177.8106338047206,3.377376513991109e-77
75d301,40.32578486548746,1.7277890552285327e-17
dc066a,65.44452919650473,2.1308783813559366e-28
74d4e8,53.68711912426768,2.721052863537133e-23
3c2c69,20.44418055607003,7.4466640521555715e-09
3b9006,338.24209624853097,7.146289668915455e-147
50fed6,24.761482465494282,9.930734374301968e-11
070623,186.97422489451318,3.5390152518471055e-81
b032ca,144.16019899006437,1.3892411302045531e-62
216e8b,14.523657549110496,2.7746757176130886e-06
4162c5,155.92095619424117,1.0842905578073124e-67
a9a7fb,8.289780003110698,0.001414330322670185
8b6eb2,125.01734857619704,2.8603022998085657e-54
5aa2ce,51.45716459536911,2.5304276586603256e-22
d07932,28.17116293747524,3.282282457081993e-12
8eed5d,3.1234346278646252,0.24789407156090562
aed444,3.4912695396854283,0.17160007297140067
69ba23,125.99816966477796,1.0726221197415357e-54
ad112e,7.367659710387631,0.003556498315646971
18ff28,115.92344845615632,2.545907241767266e-50
1edd32,88.75247188985112,1.607118006608629e-38
e32df2,237.2459576506132,5.2017119927164e-103
2a5cbc,81.07707605559622,3.462819259573095e-35
e036ae,180.25343671151973,2.9355106221026575e-78
a0003d,22.41537597061418,1.0372476756287863e-09
8af3f7,11.469644990163182,5.882379446374396e-05
a4a4c1,59.81365213047973,5.94316108113169e-26
0ca515,9.966140892350767,0.0002645553622875251
b56512,42.61892638674396,1.7441828412316222e-18
e8e145,179.8352496308555,4.459642008591316e-78
42a15a,45.347428237683665,1.1392491467472666e-19
a873cc,75.95621919705758,5.7994886202581334e-33
f9dd1d,226.13713053528238,3.4725508915482595e-98
8fba37,17.246519130269878,1.822587862630509e-07
00ae0a,18.16808205078398,7.252016485802556e-08
81f353,178.81817117152775,1.2331376571279753e-77
7e9062,80.3457580329967,7.195106159078926e-35
070d10,70.05198725013015,2.1260087862867205e-30
b3bc0d,8.71204516473964,0.0009271786507216379
dc543d,7.738604580393187,0.0024542754163367074
d8ffd9,27.4998924185067,6.422513618400785e-12
0f53a0,188.71162893040207,6.22784003049504e-82
9e43e4,32.08655944207174,6.54245667192077e-14
5e1143,203.9229794413336,1.5421686114972026e-88
619382,95.49758252788872,1.8909647675739119e-41
ce32bc,222.16380752290047,1.846039027521089e-96
97a11a,39.43529217247323,4.209463822147739e-17
e7a756,46.278477668650446,4.4902351136666013e-20
2f3c12,90.81969463528148,2.0335943934367393e-39
bd259c,142.07879542518407,1.113575623399133e-61
d8d761,214.5137335847219,3.878160474580954e-93
96d804,12.016674007459372,3.40393573239927e-05
eaf628,38.757188511975514,8.293225211518717e-17
f7dca2,10.865818235899194,0.00010759489421446606
a8abbd,96.81108072288511,5.084384886260904e-42
a8aaf8,25.518118757857746,4.65991933580703e-11
afadfc,20.999410129362957,4.273941975222817e-09
b5c542,24.188981508936905,1.7604162627331928e-10
049ec6,163.19540750895072,7.514353312626858e-71
02c4a9,10.993406205588713,9.470674526493508e-05
792986,80.2810297957409,7.676236070593786e-35
df12a6,207.68077252911038,3.5986785669890413e-90
2e8726,145.7159800576024,2.9316390636873475e-63
d934cd,53.26477572194508,4.151054049881125e-23
ad8d7b,173.75090710556321,1.957475713655097e-75
c1bf93,160.84684421221502,7.867915575551643e-70
fa87f5,61.464316204909274,1.1406258305412858e-26
c3d455,12.64676588317616,1.8127417076354737e-05
e86d30,81.66807408893423,1.9176203932430097e-35
d553b7,206.40629752212294,1.287183666371557e-89
fc3075,13.72819577108743,6.147193645538565e-06
db56a1,241.9208880623765,4.8512071699370964e-105
68acd2,221.16100443648816,5.032140115678088e-96
9f2975,182.54324002385667,2.9732724928582414e-79
ca521f,192.81787144881983,1.0256967550524656e-83
65d067,98.24296069395581,1.2144533827158333e-42
ae4a53,11.618287581993226,5.069888148781051e-05
69c34a,18.966919732587456,3.2623307188601946e-08
58a4e6,160.33911234123528,1.3072686340221607e-69
14a48a,10.5628169503681,0.00014567447084604498
f692ab,84.86397675068305,7.848736497404995e-37
f22d91,13.31551704938773,9.287546173208866e-06
a98ced,126.89937043838927,4.35572272420768e-55
9f63f8,193.6795653712672,4.333013737682163e-84
204a25,14.510602131930217,2.811137762356193e-06
4210f4,167.87665334235157,6.96389761119268e-73
b548d6,60.801147802450565,2.2138774675826614e-26
947c5c,4.414130260143806,0.06819054315624942
d4ffb9,262.37324376509713,6.3606953887089536e-114
0621f0,138.06877492768518,6.141146953484802e-60
acd699,167.2995984334807,1.240121222710241e-72
f9390c,214.46141890819447,4.086445875794016e-93
adfb58,9.201761715696682,0.0005681751394334809
f3d90c,62.920748980381845,2.658413200045396e-27
615748,42.471711694505245,2.020814913097906e-18
dcc51b,151.48100513806733,9.191616995645935e-66
c76097,101.00021105195086,7.707654398242793e-44
889b4c,111.45530195606432,2.2199027323070253e-48
813ab4,229.321851053065,1.4372822821798155e-99
f7821e,202.0730129995624,9.807584911842882e-88
b0dac4,135.05321874846456,1.2528206362088914e-58
5eabd1,38.10111898988336,1.59827252006853e-16
345d15,154.64846816946925,3.87061703201677e-67
cc3359,90.51266779312667,2.7644223734974892e-39
92ee9f,6.054569047232948,0.013221801616433583
f078ce,14.058444506234029,4.418264291474833e-06
18db9a,251.98635761884077,2.0628703577668956e-109
4412ba,34.028055800825406,9.38771075167826e-15
